5186, 321.6, 64.2, 0.0809, no trigger, navigating, null
5204, 322.3, 63.1, 0.0811, no trigger, navigating, null
5221, 322.9, 62.1, 0.0813, no trigger, navigating, null
5238, 323.5, 61.1, 0.0815, no trigger, navigating, null
5255, 324.2, 60.1, 0.0816, no trigger, navigating, null
5271, 324.7, 59.2, 0.0818, no trigger, navigating, null
5288, 325.4, 58.3, 0.082, no trigger, navigating, null
5305, 326, 57.4, 0.0822, no trigger, navigating, null
5322, 326.6, 56.4, 0.0823, no trigger, navigating, null
5339, 327.1, 55.5, 0.0825, no trigger, navigating, null
5356, 327.7, 54.6, 0.0827, no trigger, navigating, null
5373, 328.3, 53.7, 0.0829, no trigger, navigating, null
5390, 328.9, 52.8, 0.083, no trigger, navigating, null
5407, 329.5, 51.9, 0.0832, no trigger, navigating, null
5424, 330, 51.1, 0.0834, no trigger, navigating, null
5441, 330.6, 50.2, 0.0835, no trigger, navigating, null
5459, 331.2, 49.3, 0.0837, no trigger, navigating, null
5476, 331.7, 48.4, 0.0839, no trigger, navigating, null
5494, 332.2, 47.6, 0.084, no trigger, navigating, null
5511, 332.8, 46.8, 0.0842, no trigger, navigating, null
5529, 333.3, 45.9, 0.0844, no trigger, navigating, null
5546, 333.9, 45.1, 0.0845, no trigger, navigating, null
5564, 334.4, 44.2, 0.0847, no trigger, navigating, null
5581, 334.9, 43.4, 0.0848, no trigger, navigating, null
5599, 335.5, 42.6, 0.085, no trigger, navigating, null
5616, 336, 41.8, 0.0851, no trigger, navigating, null
5633, 336.5, 41.1, 0.0853, no trigger, navigating, null
5650, 336.9, 40.3, 0.0854, no trigger, navigating, null
5667, 337.4, 39.6, 0.0856, no trigger, navigating, null
5684, 337.9, 38.8, 0.0857, no trigger, navigating, null
5701, 338.4, 38.1, 0.0859, no trigger, navigating, null
5719, 338.9, 37.3, 0.086, no trigger, navigating, null
5737, 339.3, 36.6, 0.0861, no trigger, navigating, null
5754, 339.8, 35.8, 0.0863, no trigger, navigating, null
5771, 340.3, 35.1, 0.0864, no trigger, navigating, null
5788, 340.7, 34.5, 0.0866, no trigger, navigating, null
5804, 341.1, 33.8, 0.0867, no trigger, navigating, null
5821, 341.6, 33.2, 0.0868, no trigger, navigating, null
5838, 342, 32.4, 0.0869, no trigger, navigating, null
5856, 342.5, 31.7, 0.0871, no trigger, navigating, null
5874, 342.9, 31.1, 0.0872, no trigger, navigating, null
5891, 343.3, 30.4, 0.0873, no trigger, navigating, null
5908, 343.7, 29.8, 0.0875, no trigger, navigating, null
5925, 344.1, 29.2, 0.0876, no trigger, navigating, null
5942, 344.6, 28.5, 0.0877, no trigger, navigating, null
5959, 345, 27.9, 0.0878, no trigger, navigating, null
5977, 345.4, 27.2, 0.088, no trigger, navigating, null
5994, 345.8, 26.6, 0.0881, no trigger, navigating, null
6010, 346.1, 26, 0.0882, no trigger, navigating, null
6030, 346.6, 25.4, 0.0883, no trigger, navigating, null
6047, 347, 24.7, 0.0884, no trigger, navigating, null
6064, 347.4, 24.1, 0.0886, no trigger, navigating, null
6081, 347.7, 23.6, 0.0887, no trigger, navigating, null
6098, 348.1, 23, 0.0888, no trigger, navigating, null
6117, 348.5, 22.4, 0.0889, no trigger, navigating, null
6134, 348.9, 21.8, 0.089, no trigger, navigating, null
6151, 349.2, 21.2, 0.0891, no trigger, navigating, null
6168, 349.6, 20.7, 0.0892, no trigger, navigating, null
6185, 349.9, 20.2, 0.0893, no trigger, navigating, null
6202, 350.3, 19.6, 0.0894, no trigger, navigating, null
6219, 350.6, 19.1, 0.0895, no trigger, navigating, null
6235, 350.9, 18.6, 0.0896, no trigger, navigating, null
6253, 351.3, 18, 0.0897, no trigger, navigating, null
6269, 351.6, 17.6, 0.0898, no trigger, navigating, null
6287, 352, 17, 0.0899, no trigger, navigating, null
6304, 352.3, 16.5, 0.09, no trigger, navigating, null
6320, 352.6, 16, 0.0901, no trigger, navigating, null
6337, 352.9, 15.5, 0.0902, no trigger, navigating, null
6355, 353.2, 15, 0.0903, no trigger, navigating, null
6372, 353.5, 14.5, 0.0904, no trigger, navigating, null
