5322, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5339, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5357, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5374, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5390, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5407, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5424, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5442, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5460, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5479, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5496, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5512, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5530, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5547, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5565, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5582, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5600, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5617, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5634, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5651, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5668, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5684, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5702, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5720, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5737, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5754, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5771, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5788, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5804, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5821, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5838, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5856, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5874, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5894, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5910, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5927, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5943, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5960, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5978, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
5994, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6011, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6030, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6047, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6064, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6081, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6099, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6117, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6134, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6151, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6169, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6185, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6203, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
6220, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
